Script,Sub-Section,ZA Already Automated,ZA New to Write,ZA Total,GH Already Automated,GH New to Write,GH Total,TZ Already Automated,TZ New to Write,TZ Total,MW Already Automated,MW New to Write,MW Total,Status,Assignee,Notes
Login,,10,13,23,10,13,23,10,13,23,10,13,23,Not Started,,"T1 T2 T3 T4 T5 T6 T9 T10 T11 T15-T21 already exist for all regions"
Register,,13,7,20,10,12,22,10,8,18,13,7,20,Not Started,,"ZA/MW run all 39 tests; GH runs 22; TZ runs 18. ZA has SA ID step 2 (T33-T37) and name fields (T26-T32)"
Header,Logged Out,7,13,20,0,20,20,0,20,20,0,20,20,Not Started,,"GH/TZ/MW use onlyLoggedIn:true so all 20 LO cases need new tests for those regions"
Header,Logged In,7,8,15,7,8,15,7,8,15,7,8,15,Not Started,,"T8-T17 cover hamburger/logo/search/livechat/theme/profile/notification/deposit"
Header,Non-FICA User (ZA only),0,8,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Started,,"ZA only - 8 new tests needed"
Hamburger Menu,Logged Out,19,13,32,11,21,32,14,18,32,11,21,32,Not Started,,"GH/MW exclude T13 T14 T22-T24 T26-T28. TZ excludes only T13 T14 T22-T24 (still runs T26-T28)"
Hamburger Menu,Logged In,19,6,25,12,13,25,19,6,25,12,13,25,Not Started,,"GH/MW exclude T30 T32 T33 T37 T39 T40 T49-T55. TZ runs all LI tests"
Transaction Summary,,21,13,34,21,13,34,21,13,34,21,13,34,Not Started,,"22 shared tests cover T1-T15 T18 T20 T22 T38-T40 T50. Gaps: close button calendar date range filter type tags"
Homepage (Logged Out),,0,30,30,0,30,30,0,30,30,0,30,30,Not Started,,"No automation exists. Banners providers special offers stackpot game sections"
Homepage (Logged In),,3,26,29,0,29,29,0,29,29,0,29,29,Not Started,,"ZA has 3 custom tests (banner scroll visibility redirect). Others have 0"
Homepage Footer,,0,17,17,0,17,17,0,17,17,0,17,17,Not Started,,"All links: Responsible Gaming FAQ GetApp Privacy Contact T&C Sitemap social media"
Search,Logged Out,0,10,10,0,10,10,0,10,10,0,10,10,Not Started,,"New script - 0 automation exists"
Search,Logged In,0,29,29,0,29,29,0,29,29,0,29,29,Not Started,,"New script - includes category filter tabs TC_SE_001-029"
Vertical Pages,Slot Games,0,15,15,0,15,15,0,15,15,0,15,15,Not Started,,"New script per vertical page"
Vertical Pages,Live Games,0,15,15,0,15,15,0,15,15,0,15,15,Not Started,,
Vertical Pages,Crash Games,0,10,10,0,10,10,0,10,10,0,10,10,Not Started,,
Vertical Pages,Quick Games,0,15,15,0,15,15,0,15,15,0,15,15,Not Started,,
Vertical Pages,Betgames,0,~10,~10,0,~10,~10,0,~10,~10,0,~10,~10,Not Started,,"Approximate - read partially from ZA JSON"
Game Page,,0,~20,~20,0,~20,~20,0,~20,~20,0,~20,~20,Not Started,,"New script - LO and LI states. Logged-out: TC_GP_001-010+"
Winners Circle,,0,TBD,TBD,0,TBD,TBD,0,TBD,TBD,0,TBD,TBD,Not Started,,"Orphaned spec exists in common/tests but not imported by any region. Full rewrite needed"
TOTAL,,98,~303,~414,~71,~334,~405,~80,~336,~416,~71,~334,~405,,,"ZA highest coverage (~24%) due to SA-specific tests. Others ~17-19%"
